CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
278768AB2,SATS,ECHOSTAR CORP,237641824,275.33M,136.94M,+99%,19.3%
278768106,SATS,ECHOSTAR CORP,6010000,166.48M,134.07M,+413.7%,11.7%
46435U853,USHY,ISHARES TR,2950000,110.65M,110.65M,NEW,7.8%
931427108,WBA,WALGREENS BOOTS ALLIANCE INC,6980000,80.13M,80.13M,NEW,5.6%
69331C108,PCG,PG&E CORP,5387000,75.09M,40.94M,+119.9%,5.3%
01609WBG6,BABA,ALIBABA GROUP HLDG LTD,28500000,36.29M,36.29M,NEW,2.5%
69331C306,PCGPRX,PG&E CORP,513000,19.29M,19.29M,NEW,1.4%
46565G104,ITOS,ITEOS THERAPEUTICS INC,290000,2.89M,2.89M,NEW,0.2%
153436100,CEE,CENTRAL & EASTERN EUROPE FD,55900,867.57K,76.05K,+9.6%,0.06%
86389T106,MSC,STUDIO CITY INTL HLDGS LTD,28680414,91.06M,0,NO CHANGE,6.4%
25525P107,DHC,DIVERSIFIED HEALTHCARE TR,15504810,55.51M,0,NO CHANGE,3.9%
35909R108,ULCC,FRONTIER GROUP HLDGS INC,900000,3.27M,0,NO CHANGE,0.23%
88331L108,SKIN,THE BEAUTY HEALTH COMPANY,1592030,3.04M,0,NO CHANGE,0.21%
879433829,TDS,TELEPHONE & DATA SYS INC,2180000,77.56M,-889.5K,-1.1%,5.4%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,375000,25.52M,-104.47M,-80.4%,1.8%
402635502,GPOR,GULFPORT ENERGY CORP,1997413,401.82M,-138.01M,-25.6%,28.2%
Total,,,,1.42B,376.76M,+35.9%,100%
