CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
36251C103,GMS,GMS INC,30.58M,4.2%,30.58M,NEW
48020Q107,JLL,JONES LANG LASALLE INC,23.92M,3.3%,21.05M,+734.9%
830566105,SKX,SKECHERS U S A INC,19.18M,2.6%,19.18M,NEW
69349H107,TXNM,TXNM ENERGY INC,18.92M,2.6%,18.92M,NEW
G491BT108,IVZ,INVESCO LTD,14.59M,2%,14.59M,NEW
G1828A108,CAEP,CANTOR EQUITY PARTNERS III I,12M,1.6%,12M,NEW
48251W104,KKR,KKR & CO INC,24.67M,3.4%,11.94M,+93.8%
G7010A129,PMTR,PERIMETER ACQUISITION CORP I,11.87M,1.6%,11.87M,NEW
G3415K101,FERAU,FIFTH ERA ACQUISITION CORP I,11.42M,1.6%,11.42M,NEW
037833100,AAPL,APPLE INC,11.2M,1.5%,11.2M,NEW
35909D109,FYBR,FRONTIER COMMUNICATIONS PARE,10.96M,1.5%,10.96M,NEW
133131102,CPT,CAMDEN PPTY TR,10.96M,1.5%,10.96M,NEW
G4R103107,GSRT,GSR III ACQUISITION CORP,10.62M,1.5%,10.62M,NEW
G7257A113,PCAP,PROCAP ACQUISITION CORP,10.37M,1.4%,10.37M,NEW
G7515A103,RDAG,REPUBLIC DIGITAL ACQUISITION,10.26M,1.4%,10.26M,NEW
G1051H101,TACO,BERTO ACQUISITION CORP,10.22M,1.4%,10.22M,NEW
78442P106,SLM,SLM CORP,19.64M,2.7%,10.08M,+105.4%
060505104,BAC,BANK AMERICA CORP,22.25M,3%,10.06M,+82.5%
654106103,NKE,NIKE INC,19.42M,2.7%,9.45M,+94.7%
070830104,BBWI,BATH & BODY WORKS INC,9.07M,1.2%,9.07M,NEW
G1827P106,CEPT,CANTOR EQUITY PARTNERS II IN,8.93M,1.2%,8.93M,NEW
21871X109,CRBG,COREBRIDGE FINL INC,8.37M,1.1%,8.37M,NEW
G81354105,SBXD,SILVERBOX CORP IV,8.25M,1.1%,8.25M,NEW
G2868C103,DAAQ,DIGITAL ASSET ACQUISITION CO,8.23M,1.1%,8.23M,NEW
665859104,NTRS,NORTHERN TR CORP,8.18M,1.1%,8.18M,NEW
023135106,AMZN,AMAZON COM INC,27.74M,3.8%,8.12M,+41.4%
G04537109,ATII,ARCHIMEDES TECH SPAC PARTNER,7.67M,1%,7.67M,NEW
G6301B101,MLAC,MOUNTAIN LAKE ACQUISITION CO,7.52M,1%,7.52M,NEW
G7490F101,RTAC,RENATUS TACTICAL ACQUIS,7.48M,1%,7.48M,NEW
G7633M104,DRDB,ROMAN DBDR ACQUISITION CORP,6.7M,0.92%,6.7M,NEW
H42097107,UBS,UBS GROUP AG,29.7M,4.1%,6.09M,+25.8%
550021109,LULU,LULULEMON ATHLETICA INC,6.08M,0.83%,6.08M,NEW
398182303,AHR,AMERICAN HEALTHCARE REIT INC,6.06M,0.83%,6.06M,NEW
852234103,XYZ,BLOCK INC,5.8M,0.79%,5.8M,NEW
344849104,FL,FOOT LOCKER INC,5.64M,0.77%,5.64M,NEW
487836108,K,KELLANOVA,5.54M,0.76%,5.54M,NEW
09627Y109,BPMC,BLUEPRINT MEDICINES CORP,5.46M,0.75%,5.46M,NEW
N07059210,ASML,ASML HOLDING N V,5.42M,0.74%,5.42M,NEW
879433829,TDS,TELEPHONE & DATA SYS INC,13.99M,1.9%,5.23M,+59.7%
G26745102,POLE,ANDRETTI ACQUISITION CORP II,5.19M,0.71%,5.19M,NEW
G4002F109,GTEN,GORES HLDGS X INC,5.12M,0.7%,5.12M,NEW
G6476A102,NPAB,NEW PROVIDENCE ACQUISITION C,5.1M,0.7%,5.1M,NEW
G9R39C129,WENN,WEN ACQUISITION CORP,5.07M,0.69%,5.07M,NEW
G24979109,CHACU,CRANE HBR ACQUISITION CORP,5.04M,0.69%,5.04M,NEW
G8193F109,SZZL,SIZZLE ACQUISITION CORP. II,5.03M,0.69%,5.03M,NEW
G5304D122,KCHV,KOCHAV DEFENSE ACQUI CO,4.58M,0.63%,4.58M,NEW
G33033104,AACT,ARES ACQUISITION CORP II,4.53M,0.62%,4.53M,NEW
G8772L105,TVA,TEXAS VENTURES ACQUISITION I,4.22M,0.58%,4.22M,NEW
G47875102,IPCX,INFLECTION PT ACQUISITION CO,4.1M,0.56%,4.1M,NEW
G6439S109,NTWO,NEWBURY STR II ACQUISITION C,3.61M,0.49%,3.61M,NEW
G43658106,HOND,HCM II ACQUISITION CORP,3.33M,0.46%,3.33M,NEW
G73944103,RAAQ,REAL ASSET ACQUISITION CORP,3.22M,0.44%,3.22M,NEW
21874C102,CNM,CORE & MAIN INC,12.51M,1.7%,3.16M,+33.8%
G6717R104,OACC,OAKTREE ACQUISITION CORP III,3.13M,0.43%,3.13M,NEW
G0750N120,AXINU,AXIOM INTELLIGENCE AC CORP 1,3.03M,0.41%,3.03M,NEW
G5490M118,LWACU,LIGHTWAVE ACQUISITION CORP,3.02M,0.41%,3.02M,NEW
G1169T104,BACQ,BLEICHROEDER ACQUISITION COR,2.58M,0.35%,2.58M,NEW
G7134A104,PLMK,PLUM ACQUISITION CORP IV,2.57M,0.35%,2.57M,NEW
G2003N105,BEAG,BOLD EAGLE ACQUISITION CORP,5.24M,0.72%,2.54M,+94.4%
G0509J115,AACB,ARTIUS II ACQUISITION INC,2.53M,0.35%,2.53M,NEW
G19307100,GLBL,CARTESIAN GROWTH CORP III,2.5M,0.34%,2.5M,NEW
G5509P102,LOKVU,LIVE OAK ACQUISITION CORP V,2.14M,0.29%,2.14M,NEW
G9008W105,TDAC,TRANSLATIONAL DEV ACQUISITIO,2.09M,0.29%,2.09M,NEW
G2130T124,CCCXU,CHURCHILL CAP CORP X,2.09M,0.29%,2.09M,NEW
G4405D107,HVII,HENNESSY CAP INVT CORP VII,2.03M,0.28%,2.03M,NEW
G1331A124,BACCU,BLUE ACQUISITION CORP.,2.01M,0.27%,2.01M,NEW
G6486E102,NHICU,NEWHOLD INVT CORP III,1.53M,0.21%,1.53M,NEW
G6858G123,OBAWU,OXLEY BRIDGE ACQ LTD,1M,0.14%,1M,NEW
G7117W123,PACHU,PIONEER ACQUISITION I CORP,1M,0.14%,1M,NEW
G17564108,CRAQ,CAL REDWOOD ACQUISITION CORP,997K,0.14%,997K,NEW
G7490F127,RTAC,RENATUS TACTICAL ACQUIS,739.5K,0.1%,739.5K,NEW
G20315100,ALF,CENTURION ACQUISITION CORP,526K,0.07%,526K,NEW
G2296A109,CMCO,COLUMBUS CIRCLE CAP CORP. I,515.5K,0.07%,515.49K,NEW
G2296A117,CMCO,COLUMBUS CIRCLE CAP CORP. I,499.33K,0.07%,499.33K,NEW
G1051H119,TACO,BERTO ACQUISITION CORP,413.02K,0.06%,415.97K,NEW
G81354121,SBXDWS,SILVERBOX CORP IV,370.2K,0.05%,370.2K,NEW
G2868C111,DAAQ,DIGITAL ASSET ACQUISITION CO,344.43K,0.05%,344.43K,NEW
G43658122,HONDW,HCM II ACQUISITION CORP,331.59K,0.05%,331.59K,NEW
G7010A111,PMTR,PERIMETER ACQUISITION CORP I,289.62K,0.04%,289.62K,NEW
03662Q105,ANSS,ANSYS INC,6.43M,0.88%,280.98K,+4.6%
G7515A129,RDAGW,REPUBLIC DIGITAL ACQUISITION,258.79K,0.04%,258.75K,NEW
30334J102,FGMC,FG MERGER II CORP,159.51K,0.02%,159.51K,NEW
G73944111,RAAQ,REAL ASSET ACQUISITION CORP,148.57K,0.02%,148.57K,NEW
G24979117,CHACU,CRANE HBR ACQUISITION CORP,135K,0.02%,135K,NEW
G6476A110,NPAB,NEW PROVIDENCE ACQUISITION C,104.17K,0.01%,103.33K,NEW
G8193F133,SZZL,SIZZLE ACQUISITION CORP. II,100K,0.01%,100K,NEW
G47875110,IPCX,INFLECTION PT ACQUISITION CO,80.72K,0.01%,80.72K,NEW
G4002F125,GTEN,GORES HLDGS X INC,76.25K,0.01%,76.25K,NEW
G04537125,ATII,ARCHIMEDES TECH SPAC PARTNER,71.06K,<.01%,71.06K,NEW
G7134A120,PLMKW,PLUM ACQUISITION CORP IV,55.17K,<.01%,55K,NEW
G19307126,GLBL,CARTESIAN GROWTH CORP III,33.76K,<.01%,33.75K,NEW
G17564116,CRAQR,CAL REDWOOD ACQUISITION CORP,27K,<.01%,27K,NEW
08862EAB5,BYND,BEYOND MEAT INC,126.75K,0.02%,0,NO CHANGE
G1827K107,CEPO,CANTOR EQUITY PARTNERS I INC,7.37M,1%,-63.07K,-0.8%
02005N100,ALLY,ALLY FINL INC,5.56M,0.76%,-207.53K,-3.6%
78464A714,XRT,SPDR SER TR,0,0%,-877.24K,CLOSE
31620M106,FIS,FIDELITY NATL INFORMATION SV,8.17M,1.1%,-1.01M,-11%
92276F100,VTR,VENTAS INC,22.11M,3%,-1.18M,-5.1%
530307305,LBRDA,LIBERTY BROADBAND CORP,0,0%,-1.39M,CLOSE
78667J108,SAGE,SAGE THERAPEUTICS INC,0,0%,-1.61M,CLOSE
85205L107,SWTX,SPRINGWORKS THERAPEUTICS INC,0,0%,-2M,CLOSE
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,0,0%,-2.73M,CLOSE
09260D107,BX,BLACKSTONE INC,0,0%,-2.77M,CLOSE
92277GAZ0,VTR,VENTAS RLTY LTD PARTNERSHIP,3M,0.41%,-3M,-50%
42809H107,HES,HESS CORP,22.24M,3%,-3.04M,-12%
86881A100,SGRY,SURGERY PARTNERS INC,911.43K,0.12%,-4.24M,-82.3%
052769106,ADSK,AUTODESK INC,11.23M,1.5%,-5.3M,-32.1%
06417N103,OZK,BANK OZK LITTLE ROCK ARK,0,0%,-5.44M,CLOSE
46625H100,JPM,JPMORGAN CHASE & CO.,0,0%,-5.52M,CLOSE
681919106,OMC,OMNICOM GROUP INC,0,0%,-5.52M,CLOSE
74340W103,PLD,PROLOGIS INC.,0,0%,-5.58M,CLOSE
753422AH7,RPD,RAPID7 INC,0,0%,-6.45M,CLOSE
