CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46090E103,QQQ,INVESCO QQQ TR,3904,3217,2.88M,2.37M,+468.3%,0.96%
369604301,GE,GE AEROSPACE,17627,6101,6.59M,2.28M,+52.9%,2.2%
25179M103,DVN,DEVON ENERGY CORP NEW,36562,36562,1.51M,1.51M,NEW,0.51%
43849R105,HONA,HONEYWELL AEROSPACE INC,2450,2450,541.65K,541.65K,NEW,0.18%
02079K305,GOOGL,ALPHABET INC,39022,1467,13.95M,524.26K,+3.9%,4.7%
093712107,BE,BLOOM ENERGY CORP,1520,1520,460.1K,460.1K,NEW,0.15%
24703L202,DELL,DELL TECHNOLOGIES INC,1033,1033,445.7K,445.7K,NEW,0.15%
607828100,MOD,MODINE MFG CO,27236,1269,7.27M,338.85K,+4.9%,2.4%
15101Q207,CLS,CELESTICA INC,926,926,337.81K,337.81K,NEW,0.11%
219350105,GLW,CORNING INC,3105,1184,793.11K,302.43K,+61.6%,0.27%
58506Q109,MEDP,MEDPACE HLDGS INC,3604,502,1.91M,265.85K,+16.2%,0.64%
172967424,C,CITIGROUP INC,39824,1780,5.57M,249.13K,+4.7%,1.9%
149123101,CAT,CATERPILLAR INC,6794,226,7.23M,240.67K,+3.4%,2.4%
00162Q452,AMLP,ALPS ETF TR,4110,4110,213.1K,213.1K,NEW,0.07%
363576109,AJG,GALLAGHER ARTHUR J & CO,903,903,207.3K,207.3K,NEW,0.07%
482480100,KLAC,KLA CORP,670,670,202.15K,202.15K,NEW,0.07%
92537N108,VRT,VERTIV HOLDINGS CO,16200,603,5.42M,201.9K,+3.9%,1.8%
532457108,LLY,ELI LILLY & CO,7178,167,8.61M,200.29K,+2.4%,2.9%
247361702,DAL,DELTA AIR LINES INC,40161,2137,3.76M,200.15K,+5.6%,1.3%
46625H100,JPM,JPMORGAN CHASE & CO,14236,582,4.66M,190.51K,+4.3%,1.6%
023135106,AMZN,AMAZON COM INC,28403,784,6.77M,186.86K,+2.8%,2.3%
92826C839,V,VISA INC,10107,541,3.47M,185.61K,+5.7%,1.2%
617446448,MS,MORGAN STANLEY,20156,776,4.21M,162.22K,+4%,1.4%
573874104,MRVL,MARVELL TECHNOLOGY INC,8056,505,2.4M,150.43K,+6.7%,0.8%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,13705,289,6.55M,138.02K,+2.2%,2.2%
38141G104,GS,GOLDMAN SACHS GROUP INC,3581,136,3.62M,137.55K,+3.9%,1.2%
G54950103,LIN,LINDE PLC,4641,237,2.41M,122.99K,+5.4%,0.81%
573284106,MLM,MARTIN MARIETTA MATLS INC,3484,206,2.01M,118.8K,+6.3%,0.67%
166764100,CVX,CHEVRON CORPORATION,9701,555,1.61M,92K,+6.1%,0.54%
58155Q103,MCK,MCKESSON CORP,3023,116,2.28M,87.65K,+4%,0.76%
931142103,WMT,WALMART INC,23912,722,2.71M,81.77K,+3.1%,0.91%
90384S303,ULTA,ULTA BEAUTY INC,4660,171,2.1M,77.12K,+3.8%,0.7%
718546104,PSX,PHILLIPS 66,1626,422,274.88K,71.34K,+35%,0.09%
872540109,TJX,TJX COS INC NEW,16589,460,2.51M,69.69K,+2.9%,0.84%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,7624,75,5.82M,57.24K,+1%,1.9%
22160K105,COST,COSTCO WHOLESALE CORPORATION,4755,54,4.45M,50.52K,+1.1%,1.5%
693475105,PNC,PNC FINL SVCS GROUP INC,12416,203,3.06M,49.98K,+1.7%,1%
025816109,AXP,AMERICAN EXPRESS CO,4950,129,1.67M,43.63K,+2.7%,0.56%
91324P102,UNH,UNITEDHEALTH GROUP INC,5460,99,2.27M,41.15K,+1.8%,0.76%
00287Y109,ABBV,ABBVIE INC,1231,144,309.83K,36.24K,+13.2%,0.1%
75513E101,RTX,RTX CORPORATION,6012,137,1.14M,25.99K,+2.3%,0.38%
620076307,MSI,MOTOROLA SOLUTIONS INC,4662,58,1.94M,24.09K,+1.3%,0.65%
94106L109,WM,WASTE MGMT INC DEL,1013,106,225.78K,23.63K,+11.7%,0.08%
21037T109,CEG,CONSTELLATION ENERGY CORP,6583,75,1.64M,18.63K,+1.2%,0.55%
56585A102,MPC,MARATHON PETE CORP,1508,51,385.55K,13.04K,+3.5%,0.13%
031162100,AMGN,AMGEN INC,6265,35,2.27M,12.67K,+0.6%,0.76%
478160104,JNJ,JOHNSON & JOHNSON,3933,30,998.86K,7.62K,+0.8%,0.33%
30303M102,META,META PLATFORMS INC,8546,12,4.81M,6.76K,+0.1%,1.6%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,1362,12,395.78K,3.49K,+0.9%,0.13%
03073E105,COR,CENCORA INC,6812,12,1.93M,3.4K,+0.2%,0.64%
244199105,DE,DEERE & CO,2264,3,1.44M,1.9K,+0.1%,0.48%
060505104,BAC,BANK OF AMER CORP,22831,15,1.3M,854.7,+0.1%,0.44%
23331A109,DHI,D R HORTON INC,5497,1,895.35K,162.88,+0%,0.3%
92189F676,SMH,VANECK ETF TRUST,7027,0,4.61M,0,NO CHANGE,1.5%
911363109,URI,UNITED RENTALS INC,1550,0,1.76M,0,NO CHANGE,0.59%
009158106,APD,AIR PRODUCTS AND CHEMICALS I,3021,0,885.7K,0,NO CHANGE,0.3%
09290D101,BLK,BLACKROCK INC,870,0,836.56K,0,NO CHANGE,0.28%
580135101,MCD,MCDONALDS CORP,2304,0,622.79K,0,NO CHANGE,0.21%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,15311,0,562.83K,0,NO CHANGE,0.19%
512807306,LRCX,LAM RESEARCH CORP,1011,0,438.1K,0,NO CHANGE,0.15%
548661107,LOW,LOWES COS INC,1179,0,259.96K,0,NO CHANGE,0.09%
872590104,TMUS,T-MOBILE US INC,4239,-13,711.01K,-2.18K,-0.3%,0.24%
907818108,UNP,UNION PAC CORP,6186,-10,1.68M,-2.72K,-0.2%,0.56%
437076102,HD,HOME DEPOT INC,6719,-20,2.37M,-7.05K,-0.3%,0.79%
H1467J104,CB,CHUBB LIMITED,6154,-24,2.1M,-8.18K,-0.4%,0.7%
594918104,MSFT,MICROSOFT CORP,19290,-23,7.2M,-8.58K,-0.1%,2.4%
191216100,KO,COCA COLA CO,5601,-116,455.19K,-9.43K,-2%,0.15%
037833100,AAPL,APPLE INC,29166,-54,8.44M,-15.63K,-0.2%,2.8%
863667101,SYK,STRYKER CORPORATION,3583,-78,1.13M,-24.56K,-2.1%,0.38%
172062101,CINF,CINCINNATI FINL CORP,1490,-185,275.86K,-34.25K,-11%,0.09%
969457100,WMB,WILLIAMS COS INC,2928,-769,217.67K,-57.17K,-20.8%,0.07%
539830109,LMT,LOCKHEED MARTIN CORP,1390,-119,708.15K,-60.63K,-7.9%,0.24%
922908363,VOO,VANGUARD INDEX FDS,4087,-103,2.81M,-70.74K,-2.5%,0.94%
742718109,PG,PROCTER & GAMBLE CO,14989,-851,2.2M,-124.79K,-5.4%,0.74%
101137107,BSX,BOSTON SCIENTIFIC CORP,36860,-3022,1.57M,-128.98K,-7.6%,0.53%
92840M102,VST,VISTRA CORP,10946,-974,1.74M,-154.51K,-8.2%,0.58%
49456B101,KMI,KINDER MORGAN INC DEL,0,-6277,0,-210.47K,CLOSE,0%
438516205,HON,HONEYWELL INTL INC,2450,-2535,548.55K,-567.58K,-50.9%,0.18%
36828A101,GEV,GE VERNOVA INC,11998,-673,14.1M,-790.68K,-5.3%,4.7%
11135F101,AVGO,BROADCOM INC,38961,-3279,14.72M,-1.24M,-7.8%,4.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,29871,-2348,17.35M,-1.36M,-7.3%,5.8%
67066G104,NVDA,NVIDIA CORPORATION,92102,-7788,18.43M,-1.56M,-7.8%,6.2%
127097103,CTRA,COTERRA ENERGY INC,0,-51995,0,-1.83M,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,28700,-2801,33.13M,-3.23M,-8.9%,11.1%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,6342,-4869,4.74M,-3.64M,-43.4%,1.6%
Total,,,,,299M,-1.75M,-0.8%,100%
